review_id,hotel_name,review_text,rating,review_date
1,Countryside Manor,Just returned from a 1 night stay at Countryside Manor and couldn't be happier! The amenities was superb. The room was spotlessly clean and beautifully decorated. The pool was also excellent. Highly recommend!,5,2023-01-07
2,Riverside Inn,"I had a terrible experience at Riverside Inn. The amenities was disappointing, and The staff was rude and unhelpful when we asked for assistance. The restaurant was also problematic. Would not stay here again.",2,2023-05-13
3,Oceanview Resort,"I cannot recommend Oceanview Resort. The breakfast was terrible, and There were bugs in the room that management didn't address. The bathroom made matters worse. This was not the perfect experience I was hoping for.",1,2022-06-19
4,Riverside Inn,Just returned from a week-long night stay at Riverside Inn and couldn't be happier! The bed was superb. We loved the evening reception with complimentary drinks in the lobby. The location was also excellent. Highly recommend!,5,2023-12-08
5,City Center Suites,"City Center Suites has potential but falls short in some areas. The service was nice, but the cleanliness needs attention. The lobby was elegant but the hallways and rooms could use updating. An okay option if you're not too picky.",3,2022-05-04
6,City Center Suites,"My stay at City Center Suites was average. The room was decent, and the service was satisfactory. However, The room had visible stains on the carpet and furniture. Not bad, but nothing special either.",3,2022-03-14
7,Grand Plaza Hotel,"Grand Plaza Hotel was adequate for our needs. The atmosphere was good, but the staff could use improvement. The view was beautiful but the windows weren't well insulated against the cold. For the price, it was an acceptable place to stay.",3,2023-05-13
8,City Center Suites,"City Center Suites was well below expectations. The amenities left much to be desired, and the restaurant was inadequate. The room looked nothing like the photos on the website. Very disappointed with my stay.",2,2023-04-30
9,Sunset Beach Resort,"My stay at Sunset Beach Resort was absolutely wonderful! The service was exceptional, and the bed exceeded my expectations. We enjoyed the rooftop pool with its spectacular views of the city. I would definitely recommend this hotel to anyone visiting Chicago.",5,2023-02-25
10,Metropolitan Luxury Hotel,"Unfortunately, my stay at Metropolitan Luxury Hotel was disappointing. The service was disappointing, and the check-in process was not up to standard. There were bugs in the room that management didn't address. I would not recommend this hotel.",2,2023-02-17
11,Heritage Boutique Hotel,"My stay at Heritage Boutique Hotel was absolutely wonderful! The location was exceptional, and the cleanliness exceeded my expectations. The breakfast buffet had an amazing variety of fresh, delicious options. I would definitely recommend this hotel to anyone visiting New Orleans.",5,2023-04-05
12,Mountain Retreat Lodge,"What a fantastic experience at Mountain Retreat Lodge! The view was impeccable, and The fitness center had state-of-the-art equipment. The location was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",5,2022-03-19
13,Metropolitan Luxury Hotel,"Metropolitan Luxury Hotel exceeded all expectations. The pool was charming, and the staff was perfect. The room was spotlessly clean and beautifully decorated. A truly memorable stay from start to finish.",4,2023-07-08
14,Grand Plaza Hotel,"I cannot recommend Grand Plaza Hotel. The bathroom was terrible, and The WiFi was so slow it was practically unusable. The breakfast made matters worse. This was not the exceptional experience I was hoping for.",2,2022-08-07
15,Sunset Beach Resort,"I can't say enough good things about Sunset Beach Resort. From the moment we checked in, the bed was outstanding. The room was beautiful and wonderful. The spa treatments were incredibly relaxing and professional. Will definitely be returning on my next trip.",4,2023-04-11
16,Riverside Inn,"Best hotel experience in years! The value for money at Riverside Inn was incredible, and the pool made our stay special. The modern amenities made our stay so convenient. If you're visiting Boston, you must stay here.",4,2023-05-14
17,Mountain Retreat Lodge,"I had a terrible experience at Mountain Retreat Lodge. The room was poor, and The parking fee was not disclosed when we booked and was outrageously expensive. The service was also problematic. Would not stay here again.",1,2022-11-18
18,Grand Plaza Hotel,"My 5 night stay at Grand Plaza Hotel was a mistake. The air conditioning was dirty, and It took over an hour to check in due to understaffing. The amenities didn't make things any better. Not worth the price at all.",1,2023-06-05
19,Oceanview Resort,"Unfortunately, my stay at Oceanview Resort was disappointing. The restaurant was shabby, and the staff was not up to standard. There were bugs in the room that management didn't address. I would not recommend this hotel.",2,2023-02-18
20,Oceanview Resort,"Mixed feelings about Oceanview Resort. The restaurant was outstanding, which I appreciated. However, the room was unpleasant. The WiFi was free but connection was spotty in certain areas of the hotel. Might consider staying again if the issues are addressed.",3,2023-08-21
21,Harbor View Hotel,"My stay at Harbor View Hotel was average. The location was decent, and the check-in process was satisfactory. However, The WiFi was so slow it was practically unusable. Not bad, but nothing special either.",3,2022-05-15
22,Riverside Inn,"Riverside Inn exceeded all expectations. The decor was exceptional, and the staff was perfect. The room was spotlessly clean and beautifully decorated. A truly memorable stay from start to finish.",4,2023-09-29
23,Harbor View Hotel,"Just returned from a 1 night stay at Harbor View Hotel and couldn't be happier! The location was superb. The location was perfect, within walking distance to all major attractions. The restaurant was also excellent. Highly recommend!",4,2022-12-24
24,Oceanview Resort,"Avoid Oceanview Resort if possible. The noise level was unacceptable, and the breakfast was equally disappointing. The air conditioning was broken, making the room unbearably hot. Save your money and book elsewhere.",1,2023-12-22
25,Riverside Inn,"Best hotel experience in years! The pool at Riverside Inn was incredible, and the room made our stay special. The modern amenities made our stay so convenient. If you're visiting Denver, you must stay here.",4,2023-07-22
26,Riverside Inn,"Riverside Inn was adequate for our needs. The decor was good, but the noise level could use improvement. The room was clean but smaller than it appeared in the photos. For the price, it was an acceptable place to stay.",3,2023-07-21
27,Mountain Retreat Lodge,Just returned from a 3 night stay at Mountain Retreat Lodge and couldn't be happier! The location was superb. We enjoyed the rooftop pool with its spectacular views of the city. The value for money was also excellent. Highly recommend!,5,2023-12-05
28,Riverside Inn,"What a fantastic experience at Riverside Inn! The decor was impeccable, and The room was spotlessly clean and beautifully decorated. The atmosphere was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",5,2023-10-12
29,Sunset Beach Resort,"My stay at Sunset Beach Resort was absolutely wonderful! The room was exceptional, and the bed exceeded my expectations. Everything was immaculately maintained throughout the property. I would definitely recommend this hotel to anyone visiting Portland.",5,2023-10-15
30,Riverside Inn,"Riverside Inn provided an exceptional experience. The pool was perfect, and the value for money was equally impressive. The spa treatments were incredibly relaxing and professional. Overall, a perfect place to stay in Las Vegas.",4,2022-01-10
31,Oceanview Resort,"I can't say enough good things about Oceanview Resort. From the moment we checked in, the pool was outstanding. The room was beautiful and delightful. The fitness center had state-of-the-art equipment. Will definitely be returning on my next trip.",4,2023-08-20
32,Countryside Manor,"Mixed feelings about Countryside Manor. The room was peaceful, which I appreciated. However, the cleanliness was outdated. The location was convenient but the street noise was bothersome at night. Might consider staying again if the issues are addressed.",3,2023-11-30
33,City Center Suites,"What a fantastic experience at City Center Suites! The value for money was impeccable, and We loved the evening reception with complimentary drinks in the lobby. The pool was also top-notch. This hotel offers great value for the price, and I'm already planning my next stay.",4,2023-02-21
34,Harbor View Hotel,"I can't say enough good things about Harbor View Hotel. From the moment we checked in, the atmosphere was outstanding. The breakfast was beautiful and elegant. Everything was immaculately maintained throughout the property. Will definitely be returning on my next trip.",4,2022-07-01
35,Sunset Beach Resort,"My stay at Sunset Beach Resort was average. The value for money was decent, and the bed was satisfactory. However, We found hair in the bathtub and on the supposedly 'clean' sheets. Not bad, but nothing special either.",3,2023-12-20
36,Oceanview Resort,"Unfortunately, my stay at Oceanview Resort was disappointing. The maintenance was uncomfortable, and the parking was not up to standard. The breakfast was cold and the selection was very limited. I would not recommend this hotel.",1,2023-04-17
37,Heritage Boutique Hotel,"Heritage Boutique Hotel exceeded all expectations. The atmosphere was excellent, and the location was perfect. The breakfast buffet had an amazing variety of fresh, delicious options. A truly memorable stay from start to finish.",5,2023-11-07
38,City Center Suites,"Avoid City Center Suites if possible. The maintenance was unacceptable, and the staff was equally disappointing. We found hair in the bathtub and on the supposedly 'clean' sheets. Save your money and book elsewhere.",2,2023-10-19
39,Countryside Manor,"Countryside Manor exceeded all expectations. The pool was outstanding, and the amenities was perfect. The room was spotlessly clean and beautifully decorated. A truly memorable stay from start to finish.",5,2022-09-25
40,Mountain Retreat Lodge,"My stay at Mountain Retreat Lodge was absolutely wonderful! The staff was exceptional, and the service exceeded my expectations. The spa treatments were incredibly relaxing and professional. I would definitely recommend this hotel to anyone visiting Denver.",4,2022-11-18
41,Sunset Beach Resort,"Sunset Beach Resort was adequate for our needs. The bed was good, but the bathroom could use improvement. The bed was comfortable but the pillows were too flat. For the price, it was an acceptable place to stay.",3,2022-01-02
42,Countryside Manor,"A reasonable stay at Countryside Manor. The service was delightful, which was nice. Unfortunately, the check-in process was disappointing. The breakfast had good variety but many items weren't replenished promptly. Overall, a middle-of-the-road experience.",3,2023-11-12
